c10,c20,label,max_nl,ok,residual_inf,seconds,status,theta,x,y
-2.40408085142018,2.4040478969740926,no_NL,0,True,3.2471565372490426e-11,1.3833959102630615,OPTIMAL,3.367231904952596,-0.9999862922882762,0.9999725847649464
-2.404080851129876,2.4040478964125045,no_NL,0,True,7.719780051890841e-11,1.2736830711364746,OPTIMAL,3.401945635931489,-0.999986292167523,0.9999725845313517
-2.4040808509837195,2.40404789611425,no_NL,0,True,1.127218819608698e-10,1.50040602684021,OPTIMAL,3.4366593669103818,-0.9999862921067287,0.9999725844072918
-2.404080851254686,2.4040478966477767,no_NL,0,True,3.253606885143908e-11,1.2450687885284424,OPTIMAL,3.4713730978892743,-0.9999862922194382,0.9999725846292141
-2.4040808489090923,2.4040478921327115,no_NL,0,True,3.255537275492808e-10,1.220823049545288,OPTIMAL,3.506086828868167,-0.9999862912437799,0.9999725827511561
-2.4040808503549855,2.40404789489477,no_NL,0,True,1.4485995195872713e-10,1.194324016571045,OPTIMAL,3.5408005598470598,-0.9999862918452045,0.9999725839000445
-2.404080850970741,2.4040478960831826,no_NL,0,True,2.8805924775016025e-10,1.491361141204834,OPTIMAL,3.5755142908259527,-0.9999862921013303,0.9999725843943691
-2.372617331807877,2.341533495710746,no_NL,0,True,1.1646895960149527e-09,10.858153104782104,OPTIMAL,3.6102280218048453,-0.9868989253218698,0.973969489113223
-2.185830404177538,1.9873662155047702,no_NL,0,True,4.6372796650362156e-10,2.635010004043579,OPTIMAL,3.6449417527837378,-0.9092042142231808,0.8266523033481188
-2.012811204167321,1.6851984855760198,no_NL,0,True,6.62724126136906e-10,1.8277199268341064,OPTIMAL,3.6796554837626307,-0.837236240179923,0.7009645222062669
-1.8626049140473184,1.4430669223563086,no_NL,0,True,4.877728269781097e-10,1.8165678977966309,OPTIMAL,3.7143692147415237,-0.7747573801005097,0.6002490059177823
-1.7286300823036582,1.2429369892188484,no_NL,0,True,6.549023489775115e-10,2.6788880825042725,OPTIMAL,3.7490829457204162,-0.7190300549666042,0.5170042224922137
-1.6035037579724543,1.0695102307836304,no_NL,0,True,8.335356393140253e-10,2.5011377334594727,OPTIMAL,3.7837966766993087,-0.6669832991090776,0.44486672301969804
-1.4909361460966821,0.9246195358554924,no_NL,0,True,4.57224625469597e-11,1.7194750308990479,OPTIMAL,3.8185104076782017,-0.6201603859924484,0.38459890435516797
-1.3931850821197806,0.8073514108712239,no_NL,0,True,1.1276175212783121e-10,1.8290889263153076,OPTIMAL,3.8532241386570947,-0.579500470592452,0.33582079548360355
-1.2951069121432552,0.697679917536108,no_NL,0,True,7.992892095865723e-10,1.8574979305267334,OPTIMAL,3.887937869635987,-0.5387044942461043,0.29020253354989417
-1.2136824676079194,0.6127102338879336,no_NL,0,True,4.818377260588381e-11,1.8489811420440674,OPTIMAL,3.9226516006148797,-0.5048356963874869,0.2548590804135108
-1.1329959857136533,0.5339513928360627,no_NL,0,True,1.4475062131787728e-09,1.5742201805114746,OPTIMAL,3.9573653315937727,-0.4712738568097671,0.2220990501500291
-1.0534570379221575,0.4616136465910582,no_NL,0,True,1.1012750133402356e-09,1.7820332050323486,OPTIMAL,3.9920790625726656,-0.4381893382722384,0.19200989794148324
-0.9909128023431457,0.4084283282213411,no_NL,0,True,1.2311022835660677e-10,1.9365639686584473,OPTIMAL,4.026792793551558,-0.41217383292693616,0.16988726870907336
-0.9143971536718015,0.34778809267939015,no_NL,0,True,1.3750030649295968e-10,1.6652719974517822,OPTIMAL,4.061506524530451,-0.3803468668031929,0.14466373919788353
-0.8547277531355328,0.3038789344008428,no_NL,0,True,1.2395411160661247e-09,1.5729472637176514,OPTIMAL,4.096220255509344,-0.35552715969139637,0.12639956295001514
-0.7966039694655849,0.2639550111273184,no_NL,0,True,2.9918815738776295e-10,1.5617780685424805,OPTIMAL,4.130933986488237,-0.33135035761273846,0.10979305989321943
-0.7263452390203314,0.21944776716474027,no_NL,0,True,1.516234306030698e-10,1.7892191410064697,OPTIMAL,4.165647717467129,-0.30212597968995497,0.09128010770036096
-0.6722152657983574,0.18795839131581174,no_NL,0,True,4.132965870522093e-11,2.0095958709716797,OPTIMAL,4.200361448446022,-0.27961041778947676,0.07818198573701671
-0.62005782641889,0.1599224242618862,no_NL,0,True,1.9107323784222227e-11,1.9471662044525146,OPTIMAL,4.235075179424914,-0.25791533861212157,0.06652032189222147
-0.5699741144329222,0.13513107844328354,no_NL,0,True,2.4368479616174796e-10,2.0175318717956543,OPTIMAL,4.269788910403808,-0.23708283398845392,0.056208270210874746
-0.5220506063383221,0.11336270194269653,no_NL,0,True,7.689135233775558e-10,2.6646149158477783,OPTIMAL,4.3045026413827,-0.2171488741365394,0.04715363376089927
-0.46529177985480485,0.09005249366491759,no_NL,0,True,1.1458826100541303e-10,2.8022520542144775,OPTIMAL,4.339216372361593,-0.19353983103120584,0.0374576666995612
-0.4224677842065266,0.07423901576950229,no_NL,0,True,8.116239791788517e-10,3.2439348697662354,OPTIMAL,4.373930103340486,-0.17572703217962243,0.03087999227589218
-0.37222964932733904,0.05763242677012677,no_NL,0,True,1.1644733201313725e-09,3.6336472034454346,OPTIMAL,4.408643834319379,-0.15483029478427238,0.023972420364893096
-0.33469904322227617,0.04659656720656194,no_NL,0,True,7.070779517457963e-11,2.4324660301208496,OPTIMAL,4.443357565298271,-0.1392193008261602,0.019382013898045652
-0.282847953308173,0.03327753234413774,no_NL,0,True,1.1690228852785784e-09,3.385082244873047,OPTIMAL,4.478071296277164,-0.11765164883821641,0.013841912249190569
-0.24368637940607582,0.02470060013658068,no_NL,0,True,9.63746037425224e-10,2.9695239067077637,OPTIMAL,4.512785027256056,-0.10136224781270699,0.01027430568039475
-0.2014644549328196,0.01688269808896529,no_NL,0,True,1.1147410200302395e-10,3.0732510089874268,OPTIMAL,4.5474987582349495,-0.08379988268578314,0.007022420504632224
-0.15858215855713462,0.010460529129633793,no_NL,0,True,4.552511670081631e-11,2.1420488357543945,OPTIMAL,4.582212489213842,-0.0659628334317215,0.004351095652018802
-0.11299548533269428,0.00531088871702022,no_NL,0,True,2.323072426684041e-11,3.4168267250061035,OPTIMAL,4.616926220192735,-0.047000888658301786,0.0022090837393224077
-0.0738583085102057,0.002269049237724039,no_NL,0,True,7.342414183248638e-10,1.3831303119659424,OPTIMAL,4.651639951171628,-0.030721635687990263,0.0009438193948056312
-0.03074159242194461,0.0003930955736368099,no_NL,0,True,1.9779407183547702e-09,1.4937489032745361,OPTIMAL,4.6863536821505205,-0.012787078690343465,0.0001635095529186523
-9.973286230831292e-09,3.391306265215603e-12,no_NL,0,True,1.596976514262535e-09,0.878046989440918,OPTIMAL,4.721067413129413,-4.148425172143104e-09,1.4106263423560023e-12
-1.0401331371663598e-08,1.4713724637012253e-11,no_NL,0,True,6.851740694672632e-11,0.8943681716918945,OPTIMAL,4.7557811441083055,-4.326472126370975e-09,6.1202280018264436e-12
-5.901132080560857e-09,1.1378523134559365e-10,no_NL,0,True,1.8678064095867726e-11,0.9379630088806152,OPTIMAL,4.790494875087198,-2.4545976421955533e-09,4.732938642360039e-11
-7.913121219919796e-09,1.7636241086776104e-11,no_NL,0,True,5.415785105996633e-11,0.928076982498169,OPTIMAL,4.8252086060660915,-3.2914919414880604e-09,7.335859492349915e-12
-4.3001163000284595e-09,5.269961886582991e-11,no_NL,0,True,3.949881793051346e-11,0.9655821323394775,OPTIMAL,4.859922337044984,-1.7886492264740745e-09,2.1920600733338624e-11
-6.42480675119044e-09,2.053973642915114e-11,no_NL,0,True,1.1155253625405061e-11,0.9942028522491455,OPTIMAL,4.8946360680238765,-2.672422051860815e-09,8.543579083137684e-12
-7.895733573665434e-09,1.0057839665831604e-11,no_NL,0,True,2.1495216817854928e-11,0.8430600166320801,OPTIMAL,4.92934979900277,-3.284259485932646e-09,4.183595485119996e-12
-8.276616779636483e-09,1.1015931954605138e-11,no_NL,0,True,1.1045662007080044e-11,0.8864901065826416,OPTIMAL,4.9640635299816624,-3.4426892595023916e-09,4.582117504441709e-12
-2.506321027535596e-09,5.8153664040305406e-12,no_NL,0,True,3.228529127737747e-11,0.9619691371917725,OPTIMAL,4.998777260960555,-1.0425134704304583e-09,2.418923092885582e-12
-3.1432594240847122e-09,4.694408585275388e-12,no_NL,0,True,1.7487582060965162e-11,0.8890171051025391,OPTIMAL,5.0334909919394475,-1.3074503444149305e-09,1.952656555998382e-12
-2.2634407142295828e-09,1.7856529785625214e-12,no_NL,0,True,5.3585288925905914e-12,0.8555729389190674,OPTIMAL,5.06820472291834,-9.41486508783466e-10,7.427489388684308e-13
-3.7775240598919705e-09,8.028187340716926e-12,no_NL,0,True,5.380610830797558e-11,0.9387202262878418,OPTIMAL,5.102918453897233,-1.5712750577625681e-09,3.3393541186007578e-12
-2.597588643785505e-09,4.9542270920454115e-12,no_NL,0,True,2.4579871145382234e-11,0.978468656539917,OPTIMAL,5.137632184876126,-1.0804765718485413e-09,2.0607290216558284e-12
-2.5610489687975248e-09,5.6910250302447465e-12,no_NL,0,True,1.0080814558429994e-11,0.9284560680389404,OPTIMAL,5.1723459158550185,-1.0652777593414396e-09,2.3672028401009744e-12
-1.6320422435147472e-09,3.710250029843702e-12,no_NL,0,True,1.4596064655897983e-11,0.970081090927124,OPTIMAL,5.207059646833912,-6.788539873715382e-10,1.543292176972383e-12
-2.4776817311344572e-09,1.315501313024943e-11,no_NL,0,True,6.967388664950885e-11,0.9323678016662598,OPTIMAL,5.241773377812804,-1.0306008495196426e-09,5.471876204725256e-12
-1.9399051412971934e-09,3.7112994020213966e-12,no_NL,0,True,6.6372194247403064e-12,1.015913963317871,OPTIMAL,5.276487108791697,-8.069106945761771e-10,1.5437286671979854e-12
-2.210548629283859e-09,1.9248910812182975e-10,no_NL,0,True,8.295753827907753e-12,1.9148080348968506,OPTIMAL,5.311200839770589,-9.194858510747099e-10,8.006655409401756e-11
-1.4802837172671712e-09,3.5178675022919798e-12,no_NL,0,True,2.0551629387857973e-12,0.8808109760284424,OPTIMAL,5.345914570749482,-6.157294689528676e-10,1.4632699554593885e-12
-1.101881633115919e-09,5.418674225141952e-11,no_NL,0,True,2.6760018970645213e-11,0.9562849998474121,OPTIMAL,5.380628301728375,-4.5833172715020166e-10,2.2539175187543212e-11
-5.027496134133894e-10,7.301848877058412e-12,no_NL,0,True,3.5478392312122955e-11,0.9304099082946777,OPTIMAL,5.415342032707268,-2.091205549803496e-10,3.0372309571475264e-12
-3.959280877553648e-09,1.739308882738131e-11,no_NL,0,True,1.0962697181305993e-10,0.8832519054412842,OPTIMAL,5.45005576368616,-1.6468774760773465e-09,7.2347194137248224e-12
-1.1270783954993427e-09,1.4972485599430707e-12,no_NL,0,True,6.904508773302474e-12,0.9010851383209229,OPTIMAL,5.484769494665054,-4.688124133461689e-10,6.227860578012439e-13
-1.333275835733458e-09,6.2340417929847985e-12,no_NL,0,True,1.1500871578684987e-11,1.0357811450958252,OPTIMAL,5.519483225643946,-5.545809987151841e-10,2.593072664280153e-12
