J,J_index,j_max,label,max_null_power,mu,mu_index,n_mu,num_null_constraints,rho,rho_cutoff,rho_max,rho_over_max,setting_label
4.0,2,1000,c20_min,8,6.116442012712245,79,300,36,1.0044559481511185e-08,1.0000504915154555e-08,1.0000504915154556,1.0044052342087119e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
10.0,5,1000,c20_min,8,6.116442012712245,79,300,36,1.9658568129836852e-08,1.0000504915154555e-08,1.0000504915154556,1.965757558905518e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.9742573073943515,80,300,36,1.7679354396070772e-08,1.0000504915154555e-08,1.0000504915154556,1.767846178374439e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.9742573073943515,80,300,36,1.5686173592401084e-08,1.0000504915154555e-08,1.0000504915154556,1.5685381613712908e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.837289849752296,81,300,36,3.233210623049862e-08,1.0000504915154555e-08,1.0000504915154556,3.233047381588026e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.837289849752296,81,300,36,3.140110913217039e-08,1.0000504915154555e-08,1.0000504915154556,3.139952372263305e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.705288447185123,82,300,36,6.292623564404555e-08,1.0000504915154555e-08,1.0000504915154556,6.292305856346158e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.705288447185123,82,300,36,7.363676427313107e-08,1.0000504915154555e-08,1.0000504915154556,7.363304642902926e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.578016859256872,83,300,36,1.4282698193322265e-07,1.0000504915154555e-08,1.0000504915154556,1.4281977074656064e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
8.0,4,1000,c20_min,8,5.578016859256872,83,300,36,2.6082408266786315e-07,1.0000504915154555e-08,1.0000504915154556,2.608109139295715e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
4.0,2,1000,c20_min,8,5.455252742359489,84,300,36,3.6117496774557393e-07,1.0000504915154555e-08,1.0000504915154556,3.611567323948383e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
